domain	Annotation #1	Annotation #2	Annotation #3	Final	Justification	# of snopes articles
cheezburger.com	Green	Yellow		Yellow	Memes and macros site. The little news they carry can be perceived as low quality journalism that is mostly opinion based e.g. "Parents share the weirdest things they caught their kids doing".	1
christiannews.net	Yellow	Orange		Yellow	Low quality journalism, mostly opinion based with some inaccuracies (Example article title:"Archaeologists Discover Road on Which Jesus Walked From Pool of Siloam to Temple").	1
collective-evolution.com	Red	Red		Red	Conspiracy theorizing. (Example article title: "Stunning UFO Sighting In Phoenix, Arizona Aug 18, 2017"). While none of the articles in snopes are political in nature, there is a strong consipiratorial thinking in their politics section and thus classified as Red. 	1
concealednation.org	Orange	Yellow		Orange	The site offers articles related to guns, concealed carry, and gun product reviews. Many of the breaking news are sensationalist and light on facts. Snopes captured one fabricated story, which leads us to classify as Orange 	2
conservativefiringline.com	Orange	Red		Red	Pro-gun site that contains heavily biased articles. (Example article title: "Alt-left in Austin admits goal is to destroy U.S., chants ‘Death to America’", "No such thing as ‘transgender’ – Says who? Science" )	1
conservativeoutfitters.com	Red	Yellow		Red	At first the site appears as a commerrce-first store, however it does carry a news section with an extremely biased right-wing agenda. The major falsehood documented by snopes as well as the stories archived from this site (http://archive.is/www.conservativeoutfitters.com) lead us to classify this site as mostly false. 	1
conservativepost.com	Red	Red		Red	Unscientific claims (Example article title: "WATCH: Scientific Proof That God is Protecting Israel") and sensationalism (Example article title: "BREAKING: Fox News Just Dropped An Absolutely Devastating Bomb On Democrats" and "Well, Well, Well – Bill Clinton Was Caught Defending the KKK, and Liberals Were Totally Cool With It") NOTE: Articles are attributed to initials.	1
conservativetribune.com	Red	Orange		Orange	Clickbait and highly partisan exaggerations. (Example article title: "Gotcha: Chilling Photo of Hate Group Leader in 2004… Look Who He Was With")	3
cosmopolitan.com	Green	Yellow		Yellow	Mostly opinion based. (Example article title: "CNN Anchor Has to Take a Drink Just to Get Through Reading the News"). At times misleading but mostly low-quality journalism.	1
crooksandliars.com	Orange	Orange		Orange	The site mixes truth and falsehoods for advancing their political agenda. Features stories like "Trump Thinks Hillary Used Chemicals On Her Emails", but also has been recognized by Time magazing as top political blog: http://content.time.com/time/specials/packages/article/0,28804,1879276_1879279_1879298,00.html	2
dailycaller.com	Red	Orange	Orange	Orange	A mix of major falsehoods with editorially responsible reactions.	3
dailyheadlines.net	Red	Yellow		Orange	The site mostly features "lite" pornographic content, but did share major falsehoods against muslims (attack on Christmas Tree) and transgender (man filming in women's bathroom) that show little regard for the facts.	2
dailykos.com	Yellow	Yellow		Yellow	Low quality partisan journalism. The site features sensationalist headlines, but mostly factual reporting with minor inaccuracies.	1
dailymail.co.uk	Yellow	Yellow		Yellow	Low quality journalism (Example article title: "Pack(er)ing it on! James and ex Mariah ditch diets!" and "Could Swiss CHEESE be a superfood? It contains a probiotic that could help you live longer, claim scientists"). The site is a prime example of a tabloid with sensationalist headline and little sourcing. The most severe falsehood around politics were shared by other sources (http://www.snopes.com/isis-killing-babies-syndrome/ , http://www.snopes.com/2017/04/12/daily-mail-melania-trump-libel/), which is consistent with the inaccurate and overreaching titles of the site but not fabricated.	3
dailynewsbin.com	Orange	Orange		Orange	Political fabrications and conspiracy theorist site. (Example article title: "Donald Trumps donation to louisiana-flood-victims-actually-went-to-an-anti-gay-hate-groups", and "Ben Carson is almost certainly suffering from a mental illness")	1
dailypost.ng	Yellow	Red		Orange	States in the disclaimer: "DailyPost publishes news, information, gossip, rumors, conjecture, opinions, and commentary...You should be skeptical of any information on DailyPost, because it may be wrong".	1
dailystormer.com	Red	Red		Red	Hate group with 100% fabricated articles. (Example articles: "its colder now than-when-al-gore-won-the-nobel-prize-for-kook-theory-in-2007", "WaPo Admits That North Korea Hysteria is a Fake News Hoax", "Breitbart’s Alt-Right Analysis is the Product of a Degenerate Homosexual and an Ethnic Mongrel", "Is Game of Thrones a Massive Psyop by the Jews?")	1
dailywire.com	Red	Yellow		Orange	Partisan articles, and low quality journalism. (Example article title: "Peak 2017: Math Is Now Racist " and "Fat Feminists Are NOT Going To Like This Study".)	3
dallasnews.com	Green	Yellow		Green	Trusted source by Snopes with only a single minor inaccuracy. Has a place to report suggested corrections, but no apparent place where corrections can easily be found.	1
davidwolfe.com	Orange	Orange		Orange	Pseudoscience site promoting alteranative medicine that have made several outragious false claims, but not in the domain of politics	3
dcclothesline.com	Red	Red		Red	Promotes hyper-partisan agenda through conspiracy theory stories with little regard for facts; Current articles on this site include headlines like "BUSTED: Parents Catch FBI in Plot to Force Mentally Ill Son to Be a Right Wing Terrorist." There is no attempt to provide quality sources and in the Snopes case, its pretty easy to tell whether or not a tweet is real	1
deadstate.org	Orange	Yellow	Yellow	Yellow	The link on Snopes, and also the fact that this is basically one guy, makes it clear the editorial process is marginal. But there's limited sensationalism here from what I can tell	1
defund.com	Orange	Orange		Orange	A blog that promotes extreme-right agenda with sensationalist headlines, but content is mostly factual.;On the border of Red and Orange, but features stories like https://defund.com/ednathan/2017/08/12/hungry-rats-terrorizing-nyc-babies-mayor-bill-de-blasio-wont-kill-inhumane/ about "rats terrorizing babies in NYC". Over-sensationalist, and only ever repeats claims from the Constervative Tribune, Young Cons and the like. 	1
dennismichaellynch.com	Orange	Orange		Orange	A site that carries extreme right agenda through sensationalism with little evidence to back up its claims; The link on Snopes reveals a basic disinterest in the truth; claims are incendiary and very loosely sourced - e.g. "http://dennismichaellynch.com/state-use-400k-taxpayers-study-lgbtq-community-gets-drunk/"	1
downtrend.com	Red	Orange		Red	A site that engages in conspiracy theories and carries extreme right agenda through sensationalism with little evidence to back up its claims	1
dw.com	Green	Green		Green	Credibile german source as recognized by Snopes and evident in their news coverage; Mostly innocuous news reporting, seems reasonably sourced and/or recycled from AP	1
ebay.com	N/A	N/A		N/A	Not a news site, e-commerce.	2
endoftheamericandream.com	Orange	Red		Orange	Snopes describes this site as "apocalypse-centric blog". However, this site also doubles in religiously-charged falsehoods and distorted half-truths. Titles like: "ISIS ‘Hit Squads’ Are Using The Refugee Program To Infiltrate Western Nations", "Is Barack Obama Attempting To Harass And Intimidate Media Personalities On His ‘Enemies List’?", "We Have Entered A Time When Islamic Terrorists Will Be Specifically Targeting Christians And Churches In America"	1
endtimeheadlines.org	Orange	Red		Red	A link aggregator, but has headlines like "Witches Gather For Coming Rare Solar Eclipse, National Guard on Standby." The Snopes article also presents major questions about journalistic integrity.	1
etsy.com	N/A	N/A		N/A	Not a news site, e-commerce.	3
eutimes.net	Red	Red		Red	Conspiracy theory and little regard for the truth.	1
express.co.uk	Orange	Orange		Orange	Express is a tabloid, and the three Snopes examples reveal an extreme carelessness and a clear lack of journalistic integrity. The corrections and clarifications are only useful when deliberate attempts to decieve are not made. Due to lack of political orientation we didn't label as Red. 	3
facebook.com	N/A	N/A		N/A	Not a news site. Social media.	3
fellowshipoftheminds.com	Red	Red		Red	A blog with a home page that provides news updates. Shares stories like “Pennsylvania GOP committeeman executed point-blank by anti-Trump neighbor,”  and Sandy Hook false flag stories	1
flickr.com	N/A	N/A		N/A	Not a news site	1
foxnews.com	Green	Green		Green	Fox news is a reputable news organization, offers retractions and corrections when found false.	1
freewoodpost.com	Satire	Satire		Satire	This is a satire site with clear disclaimer about it and over-the-top content that make it relatively easy to spot identify it as satire.	1
frontpagemag.com	Red	Orange		Red	The site features islamophbic and conspiratory theory stories that have very little evidence behind them, but not 100% fabrications. Has people who appear to have some journalist cRedentials, but clickbait at worst from multiple links, including this one, which disputes the fake news story about General Pershing "http://www.frontpagemag.com/point/267622/general-pershing-pigs-philippines-and-islamic-daniel-Greenfield";	1
fury.news	Red	Red		Red	In the TOS: "Fury News has not reviewed all of the sites linked to its Internet web site and is not responsible for the contents of any such linked site."  If you're not reviewing everything on your site, what are you doing?  Also has headlines that don't match the story, like "Obama Removed From Private Club After Repulsed Members Notice The Sick Thing He Did", and "http://www.fury.news/2017/01/obama-caught-final-act-treason-secretly-funneling-10-billion-gold-cash-terrorists/". Seems to have stopped publishing some time in January.	1
getoffthebs.com	Red	Red		Red	Major fabrications with political agenda to promote Trump's election	3
google.com	N/A	N/A		N/A	Not a news site. Search engine.	3
gopthedailydose.com	Red	Red		Red	Multiple major falsehoods that border fabrication. 	3
gotnews.com	Red	Orange		Red	Fabricates stories and twists facts to promote political agenda and advance its trolling of politicians and media personal.; Extremely sensationalist - for example, here taking the words "the government is going to kill this guy", spoken metaphorically, and running the headline  "Martial Law Now". http://gotnews.com/martial-law-now-former-mueller-deputy-phil-mudd-says-deepstate-will-kill-realdonaldtrump-on-cnn/.   They also appear linked to the Seth Rich conspiracy story. However, few things on the site appear to be outright false, suggesting the site is largely overinterpreting events.	2
healthnutnews.com	Orange	Orange		Orange	Pseudoscience alt-medicine site that promotes consipiracy theory about alt-medicine doctors disappearing and anti-vaccination. It's reporting on politics is based on wide range of source, and during the election seems questionably factual, therefore put as Orange. 	3
heatst.com	Orange	Orange		Orange	Anti-elites site that features hateful stories (see addtional comments) with little evidence to back them up. 	1
hellochristian.com	Orange	Yellow		Yellow	The site has unique views on a variety of topics, mostly related to the apocolypse. But their reporting in the political domain is mostly a reasonable interpretation of content from, e.g., the NYT. I can't see the site contributing strongly to the spread of damning fake information	1
hillaryspeeches.com	N/A	N/A 		N/A 	Not a news site	1
hinterlandgazette.com	Yellow	Yellow		Yellow	This site offer opinion on current events with links to trusted sources. Headlines may be sensational, but the content is mostly clearly stated as opinion and does not fabricate information.	1
hngn.com	Yellow	Yellow		Yellow	Front page covers mostly sports and entertainment. The politics section most republishes stories from trusted stories. I did not find additional falsehoods besides the one documented by Snopes.	1
huffingtonpost.com	Green	Green		Green	HuffPo may be sensationalist at times but is as reasonable as Fox News, which was also rated Green.	1
ijr.com	Green	Green		Green	IJR seems to generally produce reasonably unslanted, well sourced material	1
imgur.com	N/A	N/A		N/A	Not a news site	2
impulsetoday.com	Orange	Orange		Orange	Is a one-person blog that promoted the election of Trump up till April 2016 and then continued in 2017.  Stories are questionable (see additional comments) and sourced from untrusted sources.	1
independent.co.uk	Green	Green		Green	A single (minor) inaccuracy documented in Snopes and mostly sober and sourced journalism.	1
infowars.com	Red	Orange		Red	Major propagator of some of the most widespread political falsehoods (e.g. pizzagate, Sandy Hook denial) and conspiracy theories ("GOVERNMENT INSIDER: BUSH AUTHORIZED 911 ATTACKS", "NEW OBAMA BIRTH CERTIFICATE IS A FORGERY"). Regularly republishes articles from dubious sources that promote its political agenda with little regard for the truth. ; InfoWars is a conspiracy website, see, for example, these other links (http://www.snopes.com/obama-army-anti-trump-activists/, http://www.snopes.com/hillary-clinton-has-parkinsons-disease/,https://www.infowars.com/breathtaking-democrats-accused-of-hiring-actors-prior-to-charlottesville-rally/). However, while there is some purely "fake news" in the midst, most content is based ondeceptive interpretations of the truth	3
inquisitr.com	Orange	Yellow		Orange	The site publishes content from around the web with little vetting and editorial process that propgated some major (non-political) falsehoods in the past (see additional checks). However, the falsehoods are not political in essense and thus classified as Orange.	1
instagram.com	N/A	N/A		N/A	Not a news site, image sharing service.	1
iotwreport.com	Orange	Orange		Orange	Promotes falsehoods from other untrusted sources to promote its partisan agenda with little regard for facts (appealing to hate and islamphobia)	1
joeforamerica.com	Red	Yellow		Orange	Largely fear-mongering and sensationalism (e.g. http://joeforamerica.com/2017/08/california-imminent-financial-collapse/,http://joeforamerica.com/2017/08/bombshell-house-launched-full-investigation-obama-administration/) but not clear that there is a knack for false information	1
jookos.com	Red	Red		Red	The site appears to no longer produce content, but had absurd articles like the following : http://www.jookos.com/2017/06/06/british-muslims-now-demanding-queen-convert-islam-leave-country-want-buckingham-palace-turned-mosque/, http://www.jookos.com/2017/05/26/cover-seth-richs-family-says-dnc-assigned-lawyer-connected-george-soros-groups-represent-no-clue/). In addition to 100% fake story documented by Snopes, carried stories like "BREAKING: DOJ Sources say Hillary Clinton will be CHARGED FOR MURDER of DNC Staffer Seth Rich", which together with the conspiracy-driven cover shows little regard for truth.	1
judicialwatch.org	Red	Red		Red	This site is particularly dangerous, given their attempt to claim authority by suggesting they are advocates within the legal system. This mix of authority signals and fake/unsourced news is what led to a Red signal. Recognized by multiple trusted fact-checking organizations as false.	1
lawofficer.com	Yellow	Green		Green	Appears to be a reputable website for Law Enforcement news; the Snopes "mostly false" claim is pretty overblown/nitpicky	1
legacy.com	N/A	N/A		N/A	It does host news stories (obituaries), but writes little content itself.	1
lifenews.com	Green	Yellow		Yellow	Articles are very thinly sourced and the Snopes article shows a disinterest in any vetting of sources considered to be "partisan", which includes, from other articles, things like WaPo. Perhaps most damning is a link to the discredited videos about PP selling babies for parts - http://www.lifenews.com/2015/08/13/washington-post-calls-claim-that-abortion-is-3-of-what-planned-parenthood-does-a-big-lie/ .  Or, this interpretation of Apple donating to SPLC:  http://www.lifenews.com/2017/08/21/apple-will-donate-1-million-to-pro-abortion-group/ . Still, I would consider these reinterpretations, rather than pure deception	1
lifesitenews.com	Yellow	Orange		Yellow	Clickbaity, strong agenda. Has had some spats with both snopes (which calls it "a known purveyor of misleading information") and politifact (e.g., https://www.lifesitenews.com/opinion/fact-check-of-hillary-clintons-support-for-day-of-birth-abortions-shows-bia), but they seem like errors that could slip in given the difference in worldviews.	2
linkis.com	N/A	N/A		N/A	An ad-shortener	1
louderwithcrowder.com	Red	Orange		Red	More about entertainment than journalism; carelessly spreads some major falsehoods.	3
magicvalley.com	Green	Green		Green	Standard local paper in Idaho	1
medicalkidnap.com	Orange	Orange		Orange	Mostly a one-person show, conspiratorial. In response to fact-checking by snopes, attacks them (https://medicalkidnap.com/2017/01/05/snopes-exposed-a-look-at-the-fake-news-industry/). Not all articles have byline and date.	2
metalsucks.net	Yellow	Yellow		Yellow	The political articles on this site are mostly blog posts by one person. There's little editorial process, but also little breaking news on the site, and no strong political agenda.	1
metro.co.uk	Yellow	Yellow		Yellow	Seems generally legitimate and popular, and aims to be non-partisan. The snopes errors show a lack of fact-checking.	2
montgomeryadvertiser.com	Green	Green		Green	Standard local paper, part of USA Today network	1
msn.com	Green	Green		Green	All stories appear to be reprinted (with bylines) from reliable sources.	1
myfreshnews.com	Red	Red		Red	Stories don't have bylines or dates; they have a link at the bottom to the original source. So this website is not performing any quality control, merely reprinting stories from elsewhere. 	2
naturalnews.com	Red	Orange		Red	While the publisher might believe the articles, the viewpoint is too conspiracy-oriented and divergent from mainstream facts to be trusted.	3
newcenturytimes.com	Orange	Orange		Orange	Site provides little (e.g., organizational) info to establish its legitimacy. It's strongly partisan/sensationalist and has published dubious claims.	2
newsday.com	Green	Green		Green	Standard local paper in Long Island, NY; multiple Pulitzer Prizes listed on their Facebook page. Treated as a reliable source by Snopes (http://www.snopes.com/hillary-clinton-freed-child-rapist-laughed-about-it/).	1
newsrescue.com	Red	Yellow		Red	Front page articles all appear to be plagiarized from other sources on the web. Mysterious site, somewhat conspiratorial. Zero cRedible editorial process.	1
nowtheendbegins.com	Red	Orange		Red	The "editorial process" is whatever the (single) author wants to rant about. Conspiratorial. Articles appear to be based on solid sources, but quite frequently, facts are twisted into questionable interpretations.  	3
nypost.com	Yellow	Yellow		Yellow	Seems to be a large and largely cRedible organization, favoring sensationalist stories, though not political outrage.	3
observatorial.com	Red	Red		Red	No editorial process; it's just partisan content aggregated by (mostly) one writer. For example, see the misspellings and cRedulity of http://observatorial.com/2016/11/18/appeaRed-white-house-immediatly-trumps-election-theres-no-way-prepaRed-see/.	1
onlysimchas.com	Orange	Orange		Orange	Authors not attributed, no organizational description. Some stories are simply copied from jta.org (linking to the org, but not attributing the author). Snopes coverage shows lack of fact-checking.	2
palmerreport.com	Orange	Orange		Orange	Straddles the line between "original reporting" and "conspiratorial." Palmer prides himself on his accuracy, but is aggressive when questioned and mysterious: http://www.businessinsider.com/the-palmer-report-bill-louise-mensch-2017-5. As it's a one-person blog, it would be hard to argue it has a strong editorial process.	3
pamelageller.com	Orange	Orange		Orange	She has a high-profile career as a writer, commentator, activist. Seems to have respect for the truth, which is why I'm choosing Orange over Red (given the numerous falsehoods she's promoted). 	2
powdeRedwigsociety.com	Red	Red		Red	No editorial process; it's just partisan content aggregated by one writer.	3
princeton.edu	N/A	N/A		N/A	Not a news site, univerity domain.	1
qpolitical.com	Orange	Orange		Orange	Stories from anonymous contributors repackage viral content from elsewhere with little fact-checking.	2
realtruenews.org	Satire	Satire		Satire	Header of every page reads "fake, but accurate".	1
Redflagnews.com	Orange	Orange		Orange	No original reporting or commentary. Spreads falsehoods from some of their sources, but does remove articles and sources when fact-checked; wants to be seen as trustworthy.	3
Redstate.com	Orange	Yellow		Yellow	A popular conservative news blog.  Most of the content is not sensational and seems to well-represent facts; Politifact's examples suggest the editor sometimes plays fast and loose with his interpretations, though	3
regated.com	Orange	Orange		Orange	Does not exist anymore. Sources from the Gateway Pundit (http://web.archive.org/web/20161010060740/http://regated.com:80/2016/10/twitter-censoring-trumps-campaign-tweets/), and from random sites on the web	2
religiousmind.com	Red	Red		Red	All stories are plagiarized without attribution (but with a new date attached) from other content on the web. Site has moved and renamed itself.	1
rightsidenews.com	Red	Orange		Red	Reposts from 10news.one and 10news.dk, which are fake news sites. Conspiracy-oriented and anti-Islam. 	1
rightwingnews.com	Orange	Yellow		Orange	Reposts from other news sites are not checked for accuracy; false fact-checked stories have not been edited or updated.	3
shariaunveiled.wordpress.com	Red	Yellow		Red	While most material is reprinted with attribution from other sites, the static articles (linked from site headers) are deeply conspiracy theories.	1
sli.mg	N/A	N/A		N/A	Not a news site. Image hosting site.	1
sourceplanet.net	Orange	Red		Red	The Snopes link is a pretty telltale fake news story, as, seemingly, is this: http://web.archive.org/web/20160915185910/http://sourceplanet.net:80/politics/bernie-supporters-being-blocked-from-entering-nh-bernie-clinton-rally/	2
standard.co.uk	Yellow	Green		Yellow	Mainstream British tabloid/paper, generally trustworthy.	1
stateofthenation2012.com	Red	Red		Red	Promotes conspiracy theories more than actual news; seems designed to muddle the truth.	1
superstation95.com	Red	Red		Red	Well documented as a fake site run by a white supremacist: see Snopes's writeup at http://www.snopes.com/new-york-ice-agent-suicide-note/. Purports to be a radio station (which does not exist).	3
talkingpointsmemo.com	Green	Green		Green	Trustworthy news source.	1
telegraph.co.uk	Green	Green		Green	Mainstream paper.	1
thebeaverton.com	Satire	Satire		Satire	This site explicitly claims to be satirical, and displays itself as a news site	1
theconservativetreehouse.com	Orange	N/A		Orange	Strongly partisan blog. Pushes some unverified conspiracy theories; sometimes updates the posts later if they turn out to be false.	3
thedailymash.co.uk	Satire	Satire		Satire	The site states that "The Daily Mash is a satirical website which publishes spoof articles, i.e. it is all made-up and is not intended, in any way whatsoever, to be taken as factual. "	2
theeventchronicle.com	Red	Red		Red	Conspiratorial site with many fabrications (Example article title:"Expert says Humans are Extraterrestrials — and we were brought to Earth hundReds of thousands of years ago ")	2
thefederalist.com	Green	Orange		Yellow	Professional-seeming organization but many articles are opinion pieces with extremely partisan framing. Anti-science sentiment e.g. "In Paris, Climate Change Alarmists Con Everyone, Including Themselves". 	1
thefederalistpapers.org	Orange	Orange		Orange	Conservative clickbait: the mission of The Federalist Project is to "get people the power that knowledge gives to motivate them to push back at the erosion of our liberties and restore constitutionally limited small government." Some inaccuracies.	3
thefreepatriot.org	Red	Red		Red	Fake news. Articles headlines can be extremely misleading, (Example article title: "Developing: Actor, Lib Icon George Clooney Caught Supporting Terror-Linked Org"), and clickbait (Example article title: "LEAKED—Obama’s Real Birth Certificate Finally Exposed…Trump Right All Along?! ") Dubious stories reposted from other unreliable sites (madworldnews.com, beforeitsnews.com) that may or may not trace their origins to something true.	1
thegatewaypundit.com	Red	Red		Red	Doesn't make things up out of thin air, but insinuates and escalates stories for shock/entertainment value. Habitually fails to fact check, and is cited as a major spreader of false rumors. Dozens of Snopes stories about the site. Quoting the Media Matters entry on him: "If you can think of an absurd right-wing scandal, Hoft promoted it."	3
thehornnews.com	Orange	Red		Orange	Most stories on the site seem to be from the AP. The relatively small number of original ones lack bylines and due diligence (untrustworthy sources have been propagated). There are a few misleading articles (Example article title: "Senator: Brain tumor changed John McCain’s vote").	3
theintellectualist.co	Yellow	Yellow		Yellow	Low quality journalism, no authors nor corrections page. It's too anonymous to have reason to trust it	2
thelastamericanvagabond.com	Red	Red		Red	They have a "conspiracy" and "occult sections" sections, and some anti-vaxx sentiments (Example article title: "Mercury and Lead: The Fallacy of “Safe” Levels".)	1
themindunleashed.com	Red	Yellow		Orange	Many of the articles framed as opinion rather than fact. (Example article title: "A Silent Killer of the Spiritual Awakening"). There are some author attributions but it is not consistent. "Can Cats and Dogs See “Spirits”? Science Confirms They Can See Frequ encies We Can’t"	2
thenationalpatriot.com	Orange	Yellow		Orange	Partisan news blog, extreme or conspiracy-oriented tone. "Hillary’s ‘Episode’…The Truth Exposed" and "Wind Energy…Nothing But a Hot Air Scam"	1
thenewsclub.info	Red	Red		Red	Anonymous site, now gone (along with its Facebook page); stories and headlines I could find on web archive all looked fake. Site contained total fabrications such as "IT’S OVER: WIKILEAKS EXPOSES THE ASSASSINATION OF SCALIA… THIS WILL BRING DOWN THE CLINTONS AND THE DEMOCRATIC PARTY!"	1
thesun.co.uk	Yellow	Orange		Yellow	Low quality journalism. (Example article title: "Sick to deathWars of the future could be fought with man-made electronic bacteria that turns victims into ZOMBIES… and the killer tech isn’t far away, expert claims")	1
time.com	Green	Green		Green	Mainstream, trusted site (however, no author bios)	1
tmn.today	Orange	Orange		Orange	Exaggerations and inaccuracies. (Example article title: 'After U.S. Issues Threat To North Korea, Kim Suddenly Backs Down!") and sensationalist articles (Example article title:"Liberals Lose Their Minds Over Ivanka’s Eclipse Tweet!")	3
tmz.com	Green	Yellow		Yellow	Clickbait (Example article title: "Yikes! See Which BIG Star's NUDES InspiRed Shania Twain's 'That Don't Impress Me Much") andprone to inaccuracies. Although there is a place to submit corrections, they do not seem to have a corrections page.	2
toprightnews.com	Orange	Orange		Orange	Anonymously published inflammatory clickbait, some of it false. Sensationalism (Example article title: "Trump Just Hinted at His First PARDON — And The Left Is Going NUTS" and "U.S. General Exposes the New York Times for TREASON…") no corrections page.	3
tribunist.com	Orange	Yellow		Orange	Clickbait. Articles seem true, but site is too anonymous to be consideRed accountable; doesn't use bylines, consistently link to its sources, or provide contact info.	1
